,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
59,TRINITY LUTHERAN,48.22,54.25,30.0,51.55
60,GEORGETOWN,51.18,56.7,33.33,54.1
61,BAMBOO FARMS,37.65,44.75,33.33,41.58
62,GARDEN CITY SENIOR,43.24,50.32,100.0,46.99
63,PB EDWARDS,46.48,48.4,0.0,47.47
64,LAKE SHORE COMMUNITY,42.13,53.4,50.0,48.38
65,WOODLAWN BAPTIST,38.99,46.15,100.0,42.89
66,POOLER CITY HALL,41.22,48.53,33.33,45.22
67,ROTHWELL BAPTIST,41.77,44.76,50.0,43.33
68,BLOOMINGDALE,44.33,48.12,100.0,46.29
69,SAVANNAH HOLY,39.16,45.79,0.0,42.63
70,PROGRESSIVE REC CTR,39.89,45.44,33.33,42.85
71,SEVENTH DAY ADV CHR,36.89,43.39,23.08,40.28
72,POOLER CHURCH,43.26,47.61,20.0,45.52
73,SOUTHSIDE FIRE,62.83,64.22,66.67,63.55
74,COASTAL CATHEDRAL,43.48,51.52,42.86,47.84
75,RICE CREEK SCHOOL,45.33,54.54,0.0,50.21
76,CIVIC CENTER,26.35,30.58,40.0,28.85
77,HELLENIC CENTER,39.56,47.43,80.0,43.85
78,SILK HOPE BAPTIST,43.19,47.5,100.0,45.44
79,WEST BROAD STREET,25.08,39.66,0.0,33.89
80,TOMPKINS RECREATION,31.64,51.03,25.0,42.27
81,WOODVILLE-TOMPKINS,35.96,56.36,0.0,46.71
82,RESURRECTION OF OUR,36.59,51.35,0.0,44.53
83,MOSES JACKSON,34.52,54.94,0.0,46.29
84,CARVER HEIGHTS COMM,34.56,56.63,60.0,46.25
85,BUTLER ELEMENTARY SC,50.89,69.15,0.0,60.89
86,BEACH HIGH SCHOOL,30.14,40.2,25.0,35.37
87,SAVANNAH CHRISTIAN S,25.69,35.62,33.33,30.3
88,GARDEN CITY REC CTR,33.11,46.67,0.0,40.45
89,88888,0.0,0.0,0.0,0.0
90,99999,0.0,0.0,0.0,0.0
91,TOTAL,46.23,54.01,32.96,50.4
