,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
53,SUGAR HILL D,54.37,57.66,64.0,56.16
54,DULUTH C,52.06,56.58,81.82,54.64
55,DULUTH D,47.71,53.07,48.15,50.52
56,PINCKNEYVILLE K,35.32,45.44,57.89,40.87
57,PINCKNEYVILLE N,37.13,46.92,61.9,42.79
58,LAWRENCEVILLE D,35.31,45.07,72.0,41.04
59,LAWRENCEVILLE E,56.68,61.69,62.5,59.38
60,PINCKNEYVILLE L,70.85,74.46,40.0,72.59
61,PINCKNEYVILLE M,66.77,71.35,71.43,69.07
62,GARNERS D,53.64,62.19,54.55,58.37
63,BERKSHIRE H,44.11,52.0,41.67,48.02
64,PINCKNEYVILLE O,39.56,45.32,45.45,42.62
65,PUCKETTS E,52.35,54.61,52.63,53.58
66,CATES I,58.47,62.83,46.67,60.66
67,CATES J,58.96,63.21,45.45,61.19
68,GOODWINS B,58.22,60.29,38.46,59.19
69,LAWRENCEVILLE F,50.94,59.02,60.0,55.34
70,MARTINS E,29.37,40.03,43.33,35.46
71,PINCKNEYVILLE P,57.25,63.57,100.0,60.86
72,PINCKNEYVILLE Q,40.02,49.21,70.0,45.34
73,ROCKBRIDGE C,57.14,64.71,45.83,61.18
74,ROCKBRIDGE D,54.44,64.56,60.0,60.03
75,GOODWINS C,45.77,51.87,64.29,49.21
76,BAYCREEK K,60.5,63.65,29.41,62.04
77,CATES K,60.91,62.66,54.55,61.79
78,BAYCREEK C,59.4,64.8,65.62,62.24
79,CATES L,54.03,62.02,75.0,58.4
80,DULUTH E,42.96,51.62,52.38,47.94
81,GOODWINS D,50.97,57.21,44.44,54.19
82,LAWRENCEVILLE G,47.92,52.69,47.06,50.4
83,LAWRENCEVILLE H,55.57,60.58,65.22,58.2
84,MARTINS F,39.58,48.81,54.55,44.72
85,PINCKNEYVILLE S,47.09,55.32,83.33,51.38
86,ROCKBRIDGE E,46.25,54.59,66.67,50.93
87,SUGAR HILL E,56.36,60.6,50.0,58.57
88,LAWRENCEVILLE I,48.59,53.77,50.0,51.39
89,BAYCREEK D,58.75,64.56,25.0,61.79
90,BERKSHIRE J,65.66,67.81,100.0,66.81
91,CATES M,62.44,66.76,57.14,64.6
92,CATES N,61.29,63.56,50.0,62.48
93,DULUTH F,37.38,46.16,57.14,42.44
94,DULUTH G,58.05,58.51,66.67,58.32
95,GOODWINS E,51.94,56.69,36.36,54.35
96,GOODWINS F,50.97,55.74,54.55,53.47
97,PINCKNEYVILLE T,46.93,52.16,78.57,49.79
98,SUWANEE B,57.63,59.58,56.52,58.63
99,PINCKNEYVILLE U,54.67,57.95,55.56,56.46
100,PUCKETTS B,60.23,62.7,100.0,61.62
101,BERKSHIRE L,44.94,52.66,47.62,49.16
102,ROCKBRIDGE F,56.0,65.04,65.38,61.12
103,SUGAR HILL F,53.61,56.14,45.45,54.93
104,SUWANEE C,53.0,56.42,63.64,54.82
105,CATES O,58.07,61.17,100.0,59.7
106,BAYCREEK E,53.1,57.13,75.0,55.43
107,BERKSHIRE M,62.6,66.59,0.0,64.45
108,MARTINS G,44.95,52.44,28.57,48.81
109,DULUTH H,53.2,58.31,77.78,56.14
110,BERKSHIRE N,67.04,68.6,50.0,67.79
111,PINCKNEYVILLE V,44.38,52.16,37.5,48.34
112,PINCKNEYVILLE W,49.0,54.37,45.45,51.79
113,MARTINS H,47.67,55.56,57.14,51.86
114,MARTINS I,42.02,47.11,45.45,44.75
115,MARTINS J,39.58,46.54,77.27,43.66
116,GARNERS F,60.33,63.07,57.14,61.72
117,BERKSHIRE O,62.38,65.02,61.54,63.76
118,BERKSHIRE P,45.8,55.26,42.86,50.64
119,PINCKNEYVILLE X,61.54,63.26,33.33,62.32
120,ROCKBRIDGE G,51.16,59.61,69.23,55.93
121,PINCKNEYVILLE Y,38.48,45.2,33.33,41.99
122,GOODWINS G,46.23,53.74,73.33,50.39
123,PINCKNEYVILLE Z,69.74,70.05,78.95,69.99
124,PINCKNEYVILLE A1,68.49,67.35,60.0,67.88
125,LAWRENCEVILLE J,50.55,56.21,50.0,53.57
126,GOODWINS H,54.08,58.51,50.0,56.29
127,DUNCANS B,61.62,63.37,73.68,62.56
128,SUWANEE D,60.81,64.09,70.0,62.5
129,SUWANEE E,60.64,65.03,54.55,62.86
130,LAWRENCEVILLE K,56.22,63.08,40.0,59.72
131,HARBINS B,54.88,60.55,61.9,57.83
132,BAYCREEK F,56.86,62.68,63.16,60.14
133,PUCKETTS C,54.15,58.89,60.0,56.66
134,HOG MOUNTAIN C,51.63,57.57,57.14,54.73
135,ROCKYCREEK B,56.51,58.67,47.06,57.62
136,DULUTH I,55.38,58.62,51.85,56.99
137,MARTINS K,45.69,56.07,41.18,51.31
138,SUWANEE H,65.16,65.47,47.06,65.23
139,SUGAR HILL G,59.91,62.65,50.0,61.3
140,SUWANEE F,56.2,57.69,66.67,57.02
141,LAWRENCEVILLE L,56.42,59.65,64.0,58.18
142,LAWRENCEVILLE M,47.07,56.98,61.29,52.61
143,BAYCREEK G,56.38,64.11,44.44,60.6
144,BAYCREEK H,57.51,63.92,43.75,60.92
145,BAYCREEK I,53.73,59.07,53.85,56.62
146,BERKSHIRE Q,58.0,64.1,71.43,61.16
147,GOODWINS I,61.88,65.49,54.55,63.71
148,DULUTH K,30.3,37.52,47.37,34.22
149,HARBINS C,63.76,67.2,85.71,65.65
150,ROCKYCREEK C,59.34,62.7,65.0,61.14
151,LAWRENCEVILLE N,47.1,52.32,28.57,49.8
152,PUCKETTS D,59.48,61.56,54.55,60.53
153,SUWANEE G,55.37,58.72,64.29,57.2
154,BAYCREEK J,56.53,63.71,46.67,60.5
155,88888,36.36,75.0,0.0,52.63
156,TOTAL,52.84,58.07,56.05,55.63
