,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
38,PINCKNEYVILLE H,50.0,60.12,52.3,50.0,60.98,70.53,48.65,63.04
39,BAYCREEK B,41.79,63.13,43.81,25.0,53.08,62.93,46.59,59.62
40,LAWRENCEVILLE C,29.57,62.41,45.56,66.67,48.15,61.38,48.54,57.4
41,MARTINS D,43.01,49.03,36.26,25.0,43.08,47.28,33.02,43.65
42,ROCKBRIDGE B,40.5,59.91,43.81,42.86,42.62,55.8,37.42,54.31
43,GARNERS B,40.49,64.42,40.79,60.0,51.32,68.05,48.36,61.99
44,CATES F,52.27,59.54,66.67,100.0,58.7,66.84,52.98,63.47
45,CATES G,48.37,73.35,57.38,66.67,67.06,67.85,52.12,65.26
46,DULUTH B,32.36,53.52,45.59,25.0,52.87,64.31,38.54,52.5
47,GARNERS C,46.01,52.88,47.25,36.36,56.18,64.6,35.1,55.81
48,PINCKNEYVILLE I,30.69,48.4,48.41,75.0,53.25,56.74,34.41,46.57
49,PINCKNEYVILLE J,30.99,44.28,31.58,16.67,39.02,44.88,26.15,38.68
50,BERKSHIRE G,49.82,68.59,70.24,87.5,62.5,68.75,50.25,64.94
51,CATES H,42.65,52.05,41.75,37.5,56.36,60.77,37.44,52.2
52,SUGAR HILL C,46.52,65.02,52.6,42.86,58.65,60.24,42.95,57.67
53,SUGAR HILL D,35.0,59.23,41.21,62.5,57.14,60.97,43.03,56.16
54,DULUTH C,35.29,52.53,35.84,100.0,48.98,63.86,41.02,54.64
55,DULUTH D,32.87,56.54,42.54,41.67,60.9,59.43,37.08,50.52
56,PINCKNEYVILLE K,34.68,42.04,38.14,33.33,42.55,50.42,30.57,40.87
57,PINCKNEYVILLE N,27.05,45.45,31.27,30.77,45.05,49.13,33.52,42.79
58,LAWRENCEVILLE D,36.36,43.92,32.96,18.18,36.59,45.74,29.66,41.04
59,LAWRENCEVILLE E,28.43,60.55,49.3,33.33,60.98,65.48,47.06,59.38
60,PINCKNEYVILLE L,52.78,76.12,72.22,50.0,64.29,75.16,61.15,72.59
61,PINCKNEYVILLE M,51.43,73.81,69.23,100.0,71.43,71.62,58.59,69.07
62,GARNERS D,42.22,60.27,45.59,37.5,50.63,63.26,42.86,58.37
63,BERKSHIRE H,37.93,50.96,43.8,62.5,50.0,59.48,35.65,48.02
64,PINCKNEYVILLE O,40.85,42.93,33.1,42.86,41.51,56.59,32.61,42.62
65,PUCKETTS E,36.71,59.24,43.84,33.33,47.79,59.4,43.72,53.58
66,CATES I,46.17,65.65,50.0,25.0,60.68,66.61,45.03,60.66
67,CATES J,45.32,64.85,45.67,16.67,54.4,67.82,45.85,61.19
68,GOODWINS B,41.36,68.07,46.86,66.67,55.24,62.94,45.57,59.19
69,LAWRENCEVILLE F,37.84,60.52,49.48,33.33,47.69,57.75,44.09,55.34
70,MARTINS E,28.77,41.14,30.83,14.29,32.51,29.74,26.76,35.46
71,PINCKNEYVILLE P,45.68,52.89,47.19,25.0,50.0,70.18,46.82,60.86
72,PINCKNEYVILLE Q,38.2,48.65,43.36,100.0,39.66,49.16,37.1,45.34
73,ROCKBRIDGE C,47.15,67.21,40.1,41.67,55.0,60.51,44.33,61.18
74,ROCKBRIDGE D,53.03,63.06,51.88,50.0,51.16,62.84,43.75,60.03
75,GOODWINS C,38.7,56.41,38.11,66.67,40.12,56.76,34.41,49.21
76,BAYCREEK K,41.97,69.12,40.44,33.33,52.33,65.42,49.0,62.04
77,CATES K,46.25,64.32,46.94,0.0,54.67,66.99,47.01,61.79
78,BAYCREEK C,35.91,66.33,49.2,41.67,62.15,64.85,52.98,62.24
79,CATES L,46.55,62.01,43.72,33.33,51.96,63.57,40.37,58.4
80,DULUTH E,39.12,51.14,44.03,33.33,45.79,51.89,37.36,47.94
81,GOODWINS D,41.12,59.54,47.17,30.0,54.31,58.64,45.87,54.19
82,LAWRENCEVILLE G,36.57,57.12,48.48,28.57,42.72,57.23,37.4,50.4
83,LAWRENCEVILLE H,44.54,63.38,52.3,72.73,47.12,61.56,48.12,58.2
84,MARTINS F,30.8,45.94,45.8,50.0,54.44,52.55,33.33,44.72
85,PINCKNEYVILLE S,39.82,52.22,51.02,22.22,45.0,61.75,36.63,51.38
86,ROCKBRIDGE E,42.31,54.37,36.19,50.0,42.66,54.34,37.94,50.93
87,SUGAR HILL E,38.6,67.35,54.9,100.0,51.61,63.37,40.52,58.57
88,LAWRENCEVILLE I,33.9,54.74,46.71,0.0,46.36,54.07,43.58,51.39
89,BAYCREEK D,48.06,68.0,49.0,50.0,49.55,63.29,50.73,61.79
90,BERKSHIRE J,55.52,63.61,56.0,25.0,59.26,72.45,50.81,66.81
91,CATES M,48.18,69.6,60.14,33.33,54.39,68.27,50.56,64.6
92,CATES N,45.16,69.48,48.57,40.0,52.86,65.46,47.1,62.48
93,DULUTH F,28.66,51.4,38.13,18.18,42.77,45.01,32.44,42.44
94,DULUTH G,34.05,61.98,52.27,66.67,56.14,69.53,44.59,58.32
95,GOODWINS E,37.34,61.62,51.05,40.0,47.26,61.5,41.82,54.35
96,GOODWINS F,31.02,64.07,48.3,40.0,61.76,58.66,43.69,53.47
97,PINCKNEYVILLE T,35.67,60.93,42.44,37.5,53.93,57.66,36.53,49.79
98,SUWANEE B,38.84,72.38,60.59,0.0,52.0,64.84,45.98,58.63
99,PINCKNEYVILLE U,54.39,46.13,42.53,50.0,60.34,70.0,37.39,56.46
100,PUCKETTS B,36.74,69.7,57.14,66.67,50.88,66.21,47.25,61.62
101,BERKSHIRE L,38.51,55.11,40.76,33.33,38.64,61.34,31.64,49.16
102,ROCKBRIDGE F,40.48,64.22,45.75,62.5,59.68,62.94,47.27,61.12
103,SUGAR HILL F,40.0,60.14,50.87,41.67,58.42,59.73,41.05,54.93
104,SUWANEE C,37.08,64.48,46.78,30.77,50.43,62.23,41.5,54.82
105,CATES O,28.9,74.7,55.0,20.0,54.55,66.62,42.14,59.7
106,BAYCREEK E,30.0,62.15,38.24,100.0,47.3,57.94,40.74,55.43
107,BERKSHIRE M,43.38,70.37,55.68,0.0,53.57,73.23,42.07,64.45
108,MARTINS G,34.66,54.53,46.72,0.0,40.79,55.79,31.18,48.81
109,DULUTH H,38.61,61.97,54.66,50.0,52.17,61.32,43.71,56.14
110,BERKSHIRE N,46.09,70.32,54.79,50.0,55.56,72.86,52.65,67.79
111,PINCKNEYVILLE V,32.36,53.89,42.64,40.0,46.88,62.88,39.8,48.34
112,PINCKNEYVILLE W,39.47,46.8,41.32,41.18,50.56,65.3,40.0,51.79
113,MARTINS H,38.52,59.04,44.5,33.33,50.94,59.59,41.64,51.86
114,MARTINS I,32.44,56.64,44.67,36.36,51.24,47.26,29.91,44.75
115,MARTINS J,34.06,46.49,45.42,16.67,48.09,45.13,34.4,43.66
116,GARNERS F,56.55,60.87,49.06,33.33,51.43,67.01,43.03,61.72
117,BERKSHIRE O,40.8,66.76,50.57,0.0,53.85,70.09,50.61,63.76
118,BERKSHIRE P,42.15,54.88,42.52,0.0,57.45,59.31,35.9,50.64
119,PINCKNEYVILLE X,47.56,62.39,46.83,83.33,53.98,69.92,51.78,62.32
120,ROCKBRIDGE G,48.78,58.84,31.78,42.86,53.38,57.93,44.93,55.93
121,PINCKNEYVILLE Y,36.63,47.11,39.28,28.57,44.63,49.67,28.26,41.99
122,GOODWINS G,34.78,57.04,47.29,33.33,51.39,51.94,41.43,50.39
123,PINCKNEYVILLE Z,57.53,73.33,65.12,50.0,70.59,71.74,59.51,69.99
124,PINCKNEYVILLE A1,52.56,73.48,72.34,0.0,52.54,70.18,57.2,67.88
125,LAWRENCEVILLE J,38.66,60.0,43.4,75.0,50.0,59.74,34.73,53.57
126,GOODWINS H,32.86,64.17,53.38,50.0,54.69,61.47,42.44,56.29
127,DUNCANS B,40.12,63.76,43.48,71.43,50.82,66.74,51.97,62.56
128,SUWANEE D,46.65,71.43,55.41,33.33,65.0,66.26,50.1,62.5
129,SUWANEE E,39.13,70.3,57.85,50.0,56.44,67.89,52.55,62.86
130,LAWRENCEVILLE K,41.08,67.16,56.33,50.0,62.77,63.64,46.01,59.72
131,HARBINS B,36.64,64.71,45.99,14.29,56.25,59.65,49.14,57.83
132,BAYCREEK F,49.28,65.49,53.16,0.0,52.73,61.27,45.96,60.14
133,PUCKETTS C,39.44,60.37,56.96,36.36,55.22,60.14,43.11,56.66
134,HOG MOUNTAIN C,37.91,60.16,51.9,50.0,36.78,58.52,42.08,54.73
135,ROCKYCREEK B,44.25,61.61,49.41,25.0,57.27,61.11,45.99,57.62
136,DULUTH I,45.78,73.18,54.12,50.0,53.07,66.5,48.03,56.99
137,MARTINS K,42.57,60.19,42.9,27.27,58.52,52.45,38.31,51.31
138,SUWANEE H,47.15,71.75,63.72,87.5,58.02,69.5,51.11,65.23
139,SUGAR HILL G,40.91,68.75,45.38,100.0,64.58,65.1,50.5,61.3
140,SUWANEE F,34.29,68.21,55.31,42.86,51.94,65.31,46.51,57.02
141,LAWRENCEVILLE L,43.03,64.26,49.26,46.67,50.92,65.56,44.95,58.18
142,LAWRENCEVILLE M,40.73,61.06,44.61,37.5,45.56,48.89,40.75,52.61
143,BAYCREEK G,33.58,66.93,49.58,40.0,53.74,61.97,47.53,60.6
144,BAYCREEK H,48.67,68.9,50.22,30.0,51.46,61.47,46.42,60.92
145,BAYCREEK I,39.78,60.35,42.92,55.56,50.77,60.86,46.68,56.62
146,BERKSHIRE Q,42.58,61.43,50.71,40.0,48.0,68.49,49.72,61.16
147,GOODWINS I,49.59,72.21,54.62,50.0,65.0,67.36,48.83,63.71
148,DULUTH K,24.16,39.85,30.41,25.0,37.82,37.37,25.36,34.22
149,HARBINS C,44.83,71.24,47.75,100.0,52.08,68.3,53.08,65.65
150,ROCKYCREEK C,42.26,64.71,51.55,33.33,50.44,64.49,51.44,61.14
151,LAWRENCEVILLE N,41.09,50.44,49.24,50.0,37.31,55.13,36.71,49.8
152,PUCKETTS D,35.68,64.9,47.49,57.14,55.13,66.97,44.81,60.53
153,SUWANEE G,43.22,66.57,48.55,55.56,58.33,59.65,47.97,57.2
154,BAYCREEK J,50.0,65.19,48.69,40.0,57.28,62.02,43.15,60.5
155,88888,75.0,12.5,50.0,0.0,0.0,80.0,inf,52.63
156,TOTAL,39.61,58.35,45.05,42.45,51.02,62.6,42.47,55.63
